d_llave,clee,nom_est,raz_soc,cve_scian,desc_scian,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Numero exterior o kilometro,Letra exterior,Edificio,Edificio Piso,Numero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado publico",Numero de local,Codigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,cve_loc,localidad,Area geoestadistica basica,Manzana,Numero de telefono,Correo electronico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporacion al DENUE,coincide_filtro_scian,coincide_filtro_texto,textil,mezclilla,humedo_explicito,lavado_generico,produccion,maquila,proceso_seco_explicito,scian_textil,scian_acabado_humedo,scian_lavanderia,sector_textil,evidencia_hidrica,dentro_cuenca,scian_3,scian_4,scian_6,actividad_lavanderia_tintoreria,actividad_acabado_textil,actividad_confeccion,actividad_fabricacion_telas,actividad_tejido_hilado,actividad_bordado_deshilado,senal_pantalon,senal_mezclilla_o_pantalon,universo_conceptual
10122585,21074315223000971000000000U0,ALEJANDRO GARITA JUAREZ,DESHEBRADO DE PANTALON,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,LOS REYES,CALLE,LA PIEDAD,CALLE,CALLE DEL CARMEN,CALLE,JUAN PIZACO,33,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,049,,,,Fijo,19.2090004,-98.37746816,2024-11,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR,True,315,3152,315229,False,False,True,False,False,True,True,True,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6271547,21114315229001236001000000U8,ALFE CONFECCIONES,ALFE CONFECCIONES,315229,Confección en serie de otra ropa exterior de materiales textiles,251 y más personas,AVENIDA,18 PONIENTE,CALLE,MARTIRES DE RIO BLANCO,CALLE,GASODUCTO,OTRO(ESPECIFIQUE),NINGUNO,315,,,,0,SN,PARQUE INDUSTRIAL,CENTRO,PARQUE INDUSTRIAL,5 DE MAYO,SN,72019,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0412,028,,ALFE@ALFECONFECCIONES.COM,,Fijo,19.05265261,-98.19730904,2010-07,True,True,True,False,False,False,True,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315229,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6377115,21114313310000176000000000U7,ALILTEX,ALILTEX,313310,Acabado de productos textiles,101 a 250 personas,CALLE,ANTIGUO CAMINO A MANZANILLA,AVENIDA,18 DE NOVIEMBRE (FEDERAL PUEBLA-TEHUACÁN),CALLE,NINGUNO,OTRO(ESPECIFIQUE),BARRANCO,59,,,,,,COLONIA,JOAQUIN COLOMBRES,PARQUE INDUSTRIAL,RESURRECCION,SN,72300,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0338,033,,TEREPC@ALILTEX.COM,,Fijo,19.05664146,-98.15516569,2010-07,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI,True,313,3133,313310,False,True,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
8308596,21114314993000341010000000U9,ALMACEN DE ACOPIO DE DESPERDICIOS INDUSTRIALES TEXTILES,,313210,Fabricación de telas anchas de tejido de trama,0 a 5 personas,AVENIDA,VALLE DEL SUR,CALLE,VALLE DE TAMAULIPAS,OTRO(ESPECIFIQUE),ARROYO,AVENIDA,VALLE DE ZARAGOZA,,SN,,,,,COLONIA,DEL VALLE,,,,72310,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,5856,012,2223563450,,,Fijo,19.06269772,-98.11368902,2019-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3132,313210,False,False,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
7518002,21180314120000011000000000U9,ALMOHADAS ESMERALDA,,314120,"Confección de cortinas, blancos y similares",0 a 5 personas,CALLE,5 DE MAYO,AVENIDA,ABELARDO L. RODRIGUEZ,AVENIDA,LAZARO CARDENAS,CALLE,EMILIANO ZAPATA,3,,,,,,PUEBLO,SANTIAGO COLTZINGO,,,,74105,21,PUEBLA,180,Tlahuapan,0019,Santiago Coltzingo,0259,009,5638909836,BLANCOSMAGNOLIA@HOTMAIL.COM,,Fijo,19.38319649,-98.53449515,2019-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,314,3141,314120,False,False,False,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
9760993,21015315225000331000000000U5,ALTA COSTURA AKSNES HAUTE COUTURE,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,AVENIDA,SAN JOSE DE LAS FLORES,CALLE,AZUCENA,CALLE,MARGARITAS,CALLE,CALLE DEL ROSAL,9,,,,,,COLONIA,SAN JOSE LAS FLORES,,,,72980,21,PUEBLA,015,Amozoc,0001,Amozoc de Mota,0113,039,2227795120,CHIPIGIGANTE2002@GMAIL.COM,,Fijo,19.03593099,-98.0274207,2024-11,True,True,True,False,False,False,False,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA,False,315,3152,315225,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
8120482,21132315224000031010000000U7,ALTA COSTURA DE ELY,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,AVENIDA,MIGUEL HIDALGO,CALLE,VICENTE GUERRERO,PRIVADA,NINGUNO,PRIVADA,NARCISO MENDOZA,55,,,,,,COLONIA,SAN JUAN TUXCO TEXMELUCAN PUE,,,,74129,21,PUEBLA,132,San Martín Texmelucan,0010,San Juan Tuxco,0124,033,2481564309,ELISAHERNANDEZSANCHEZ3@GMAIL.COM,,Fijo,19.26008932,-98.44847596,2019-11,True,True,True,False,False,False,False,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315225,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
10504214,21114315225004141000000000U5,ALTA COSTURA SIN NOMBE,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,CALLE,PALMA,CALLE,NINGUNO,PRIVADA,NOGAL,AVENIDA,NOGAL,40,,,,,,COLONIA,LOMA BONITA CALERAS,,,,72100,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,4839,001,,,,Fijo,19.10676169,-98.21723322,2024-11,True,True,True,False,False,False,False,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315225,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6271633,21114313310000186000000000U6,ALTO ACABADO,ALTO ACABADO,313310,Acabado de productos textiles,101 a 250 personas,CALLE,30 NORTE,AVENIDA,12 ORIENTE,CALLE,NINGUNO,CALLE,32 NORTE BIS,1008,,,,,,COLONIA,HUMBOLDT,,,,72370,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0624,014,,ADMINISTRACION@ALTOACABADO.COM,,Fijo,19.04151798,-98.17460254,2010-07,True,True,False,False,True,False,False,False,False,True,True,False,INCLUIR,SI,True,313,3133,313310,False,True,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6377361,21114315229001277001057126S2,AMEREX,AMEREX,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,LADRILLERA,PRIVADA,NINGUNO,AVENIDA,FERROCARRIL,PRIVADA,NINGUNO,78,,,,,,COLONIA,SAN PABLO XOCHIMEHUACAN,,,,72014,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,5786,006,,CONTABILIDAD.ACAJETE@AMEREX.COM.MX,,Fijo,19.09762943,-98.20320314,2010-07,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315229,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
9440829,21119314120000043000000000U0,AMERICALZE,AMERICALZE,314120,"Confección de cortinas, blancos y similares",11 a 30 personas,CALLE,TLAXCALANZI,CALLE,REAL A SAN ANDRES,CALLE,CAMINO REAL A CHOLULA,CALLE,TLAXCALANZI,402,,,,,,COLONIA,EMILIANO ZAPATA,,,,72810,21,PUEBLA,119,San Andrés Cholula,0013,San Bernardino Tlaxcalancingo,0476,001,,,,Fijo,19.03529418,-98.27654454,2023-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,314,3141,314120,False,False,False,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6379677,21114314120000337000009574M7,APOLO TEXTIL,APOLO TEXTIL,313210,Fabricación de telas anchas de tejido de trama,251 y más personas,CALLE,RESURRECCIÓN ORIENTE,CALLE,RESURRECCIÓN NORTE,CALLE,RESURRECCIÓN SUR,OTRO(ESPECIFIQUE),ARROYO,16,,,,,,PARQUE INDUSTRIAL,RESURRECCION,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL RESURECCIÓN,SN,72228,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,1105,015,,ANTONIO.VEGA@GRUPOAPOLO.COM.MX,,Fijo,19.08003106,-98.14756117,2010-07,True,True,True,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3132,313210,False,False,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6376595,21114313210000437002009574S5,APOLO TEXTIL,APOLO TEXTIL,313210,Fabricación de telas anchas de tejido de trama,51 a 100 personas,CALLE,RESURRECCIÓN PONIENTE,CALLE,LA NOPALERA,CALLE,RESURRECCIÓN SUR,CALLE,ANTIGUO CAMINO A LA RESURRECCIÓN,7,,,,,,CORREDOR INDUSTRIAL,RESURRECCION,CORREDOR INDUSTRIAL,RESURRECION,7,72228,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,1641,033,,ANTONIO.VEGA@GRUPOAPOLO.COM.MX,WWW.BABYMINK.COM,Fijo,19.07974297,-98.15195233,2010-07,True,True,True,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3132,313210,False,False,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
9954897,21114315229002613000000000U7,APPAREL FULL PACKAGE MEXICO,APPAREL FULL PACKAGE MEXICO,315229,Confección en serie de otra ropa exterior de materiales textiles,11 a 30 personas,AVENIDA,4 PONIENTE,CALLE,33 NORTE,CALLE,NINGUNO,AVENIDA,6 PONIENTE,3120,A,,,,,COLONIA,AMOR,,,,72140,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,2298,019,5566967790,CEO@PATEKCORP.COM,,Fijo,19.05876077,-98.2209037,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315229,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
8234944,21114463214001901110000000U9,APREZZA NOVIAS,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,23 SUR,CALLE,AVENIDA 5 PONIENTE,AVENIDA,JUAREZ,CALLE,21 SUR,506,2,,,,,COLONIA,SAN MATIAS,,,,72090,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0380,013,,APREZAORTEGA26@GMAIL.COM,,Fijo,19.05070069,-98.21620383,2019-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315229,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
11565683,21132315229004811000000000U7,ARMADO DE COSTURA,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,CALLE DE LAS FLORES,CALLE,GASODUCTO,CALLE,GASODUCTO,AVENIDA,AVENIDA DEL TRABAJO,,SN,,,,,COLONIA,LA LOMA,,,,74120,21,PUEBLA,132,San Martín Texmelucan,0001,San Martín Texmelucan de Labastida,0529,015,,,,Fijo,19.30898706,-98.44930008,2024-11,True,True,True,False,False,False,False,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315229,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
11029051,21114315225003381000000000U8,ARREGLO Y CONFECCION DE ROPA,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,CALLE,SAN SEBASTIAN,CALLE,DIVISION DEL NORTE,AVENIDA,16 DE SEPTIEMBRE,CALLE,25 DE FEBRERO,5821,A,,,,,COLONIA,SAN ANTONIO ABAD,,,,72308,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,4453,030,2215262752,,,Fijo,19.062373,-98.14001126,2024-11,True,True,True,False,False,False,True,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315225,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
9119688,21114811499011631010000000U6,ARREGLOS DE ROPA EN GENERAL,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,CALLE,HELIOTROPOS,AVENIDA,AZALEAS,CALLE,BUGAMBILIAS,CALLE,CLAVELES,10000,,,,13710,,COLONIA,SAN RAMON PRIMERA SECCION,,,,72490,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,4716,002,,,,Fijo,18.97367175,-98.25651188,2019-11,True,True,True,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315225,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
6377777,21114432111000316001000000U7,ARTE EN DENIM,ARTE EN DENIM,313210,Fabricación de telas anchas de tejido de trama,0 a 5 personas,AVENIDA,AQUILES SERDÁN SUR,AVENIDA,CENTRAL LA ANTIGUA CEMENTERA,CALLE,NINGUNO,CONTINUACION,35,301,,,,,,COLONIA,JESUS GONZALEZ ORTEGA,,,,72040,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,2550,084,,YEZIEL@ARTEENDENIM.COM,WWW.ARTEENDENIM.COM,Fijo,19.08270633,-98.21576787,2026-04,True,True,True,True,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3132,313210,False,False,False,True,False,False,False,True,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
3340249,21114315229001673001000000U2,ARTE JIN,ARTE JIN,315229,Confección en serie de otra ropa exterior de materiales textiles,31 a 50 personas,CALLE,NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,CALLE,RICARDO FLORES MAGON,CARRETERA,FEDERAL PUEBLA-TLAXCALA,98,3A,,,3,A Y NAVE 4,COLONIA,SAN JERONIMO CALERAS,,,,72100,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,1603,060,2221945471,DARELYAU09@HOTMAIL.COM,,Fijo,19.09420345,-98.20831855,2014-12,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315229,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes"
