Name,Nombre,Direccion,Filtro,_name_norm_left,index_right,id_denue2026_cercano,clee_denue2026_cercano,nombre_denue2026_cercano,codigo_denue2026_cercano,actividad_denue2026_cercana,_name_norm_right,distancia_m_denue2026,nombre_exactamente_en_denue2026,comparacion,nombre_mapa,fuente_mapa
17,Maquila de pantalon de mezclilla,"San Antonio SN, Santa Ana Xalmimilulco, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,864,3326289,21074461110005791000000000U8,MISCELANEA CARO,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel�neas",MISCELANEA CARO,3.3678492103554043,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
18,Maquila,"Rafael Serrano SN, Santa Ana Xalmimilulco, Huejotzingo",,MAQUILA,167,6450047,21074315229000221000000000U7,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILA SIN NOMBRE,4.600668128894273,False,mayra_revisar_nombre_o_distancia,Maquila,mayra
19,Maquila de pantalon,"Santa María 1, Colonia San Antonio, Huejotzingo",,MAQUILA DE PANTALON,1658,8858051,21074722518000221000000000U0,COCINA DO�A MARTHA,722518,Restaurantes que preparan otro tipo de alimentos para llevar,COCINA DO A MARTHA,39.81818988514845,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon,mayra
20,Taller de maquila de pantalon de mezclilla,"San Mateo 5, Colonia San Antonio, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,1658,8858051,21074722518000221000000000U0,COCINA DO�A MARTHA,722518,Restaurantes que preparan otro tipo de alimentos para llevar,COCINA DO A MARTHA,1.6419207928490054,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon de mezclilla,mayra
21,Taller de maquila,"B Juárez 13, Santa Ana Xalmimilulco, Huejotzingo",,TALLER DE MAQUILA,351,3427858,21074314991000122002000000U3,TALLER DE MAQUILA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE MAQUILA,0.5116581866742722,True,mayra_nombre_exactoy_cerca,Taller de maquila,mayra
22,Taller de maquila,"Domingo Arenas 38, Sección Segunda, Huejotzingo",,TALLER DE MAQUILA,1072,3427886,21074461123000031000000000U7,PESCADERIA JHONY,461123,Comercio al por menor de pescados y mariscos,PESCADERIA JHONY,5.157226019263962,False,mayra_revisar_nombre_o_distancia,Taller de maquila,mayra
23,Taller de maquila,"M. Ocampo 4, Manzana Primera, Huejotzingo",,TALLER DE MAQUILA,1395,3326141,21074461130000861000000000U2,VERDULERIA SIN NOMBRE,461130,Comercio al por menor de frutas y verduras frescas,VERDULERIA SIN NOMBRE,7.877808430749033,False,mayra_revisar_nombre_o_distancia,Taller de maquila,mayra
24,Maquila de pantalon,"Peritas 12, Sección Segunda, Huejotzingo",,MAQUILA DE PANTALON,114,3326144,21074315229001331001000000U3,MAQUILA DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILA DE PANTALON,0.6749817520885553,True,mayra_nombre_exactoy_cerca,Maquila de pantalon,mayra
25,Maquila de pantalon fosil jeans,"Reforma SN, Manzana Primera, Huejotzingo",,MAQUILA DE PANTALON FOSIL JEANS,1538,9862899,21074611111000161000000000U6,PREESCOLAR,611111,Escuelas de educaci�n preescolar del sector privado,PREESCOLAR,2.4062579079801094,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon fosil jeans,mayra
26,Maquila de pantalon de vestir,"Del Refugio 4, Manzana Primera, Huejotzingo",,MAQUILA DE PANTALON DE VESTIR,183,10398573,21074315229002952000000000U5,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILA SIN NOMBRE,1.4975861769880336,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de vestir,mayra
27,Deshebrado de blusa,"Domingo Arenas 52, Sección Segunda, Huejotzingo",,DESHEBRADO DE BLUSA,24,3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,DESEBRADO DE BLUSA SIN NOMBRE,0.9196861403309302,False,mayra_revisar_nombre_o_distancia,Deshebrado de blusa,mayra
28,Taller de maquila de pantalon de mezclilla,"Aquiles Serdán Norte 13, Manzana Primera, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,2075,3427865,21074811493000121000000000U0,TALLER DE BICICLETAS SIN NOMBRE,811493,Reparaci�n y mantenimiento de bicicletas,TALLER DE BICICLETAS SIN NOMBRE,9.403455012996623,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon de mezclilla,mayra
29,Maquila de pantalon de mezclilla,"San Martín 47, Manzana Primera, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,92,3428151,21074315229001371002000000U9,MAQUILA DE PANTALON DE MESCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILA DE PANTALON DE MESCLILLA,6.722650035996958,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
30,Maquila de pantalon de mezclilla,"Violetas Poniente 22, Manzana Primera, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,1038,8090506,21074465311001761000000000U5,PAPELERIA DANY,465311,Comercio al por menor de art�culos de papeler�a,PAPELERIA DANY,10.064154995082264,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
31,Taller de deshebrado,"Álamos 34, Sección Segunda, Huejotzingo",,TALLER DE DESHEBRADO,207,11313187,21074315229002392000000000U4,MAQUILLADORA SOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILLADORA SOMBRE,15.604557234001014,False,mayra_revisar_nombre_o_distancia,Taller de deshebrado,mayra
32,Taller de maquila,"Manzana Primera, Huejotzingo",,TALLER DE MAQUILA,391,3428168,21074315229000051002000000U8,TALLER DE MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE MAQUILA SIN NOMBRE,1.0433930070332762,False,mayra_revisar_nombre_o_distancia,Taller de maquila,mayra
33,Maquila de pantalon,"Río Xochiac SN, Sección Segunda, Huejotzingo",,MAQUILA DE PANTALON,135,9890180,21074315229001431000000000U1,MAQUILA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILA,4.049391620289092,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon,mayra
34,Taller de maquila,"El Nopalito 11, Manzana Primera, Huejotzingo",,TALLER DE MAQUILA,1975,9046594,21074812110001741000000000U3,ESTETICA SIN NOMBRE,812110,Salones y cl�nicas de belleza y peluquer�as,ESTETICA SIN NOMBRE,33.61296990468497,False,mayra_revisar_nombre_o_distancia,Taller de maquila,mayra
35,Maquila de pantalon de mezclilla,"Del Refugio 22, Manzana Primera, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,216,9804661,21074315229002591000000000U1,MAQUILLA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILLA SIN NOMBRE,8.64406936901405,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
36,Maquila de pantalon de mezclilla,"Del Refugio 22, Manzana Primera, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,1725,10050403,21074722519001221000000000U7,JUGOS Y LICUADOS,722519,Servicios de preparaci�n de otros alimentos para consumo inmediato,JUGOS Y LICUADOS,4.311986755763721,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
37,Taller de maquila de pantalon de mezclilla,"Río Xochiac SN, Colonia Santa Cruz, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,851,10107289,21074467115000561000000000U3,JERCERIA BERNAL,467115,Comercio al por menor de art�culos para la limpieza,JERCERIA BERNAL,12.747953941013275,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon de mezclilla,mayra
38,Taller de pantalon de mezclilla,"Linda Vista 8, Colonia Santa Cruz, Huejotzingo",,TALLER DE PANTALON DE MEZCLILLA,215,11521781,21074315229002362000000000U7,MAQUILLADORA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILLADORA,9.389359439976184,False,mayra_revisar_nombre_o_distancia,Taller de pantalon de mezclilla,mayra
39,Maquila de pantalon de mezclilla,"Linda Vista 4, Colonia Santa Cruz, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,1165,10244220,21074461110009981000000000U1,TIENDA AMARO,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel�neas",TIENDA AMARO,17.087834988410826,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
40,Taller de maquila,"Del Refugio 35, Colonia Santa Cruz, Huejotzingo",,TALLER DE MAQUILA,252,3428130,21074311830000731000000000U4,MOLINO LA MERCED,311830,Elaboraci�n de tortillas de ma�z y molienda de nixtamal,MOLINO LA MERCED,1.3823550690265496,False,mayra_revisar_nombre_o_distancia,Taller de maquila,mayra
41,Taller de maquila de pantalon de mezclilla,"Josefa Ortiz de Domínguez 6, Colonia Santa Cruz, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,211,10416578,21074315229002972000000000U3,MAQUILLADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILLADORA SIN NOMBRE,19.380576230279082,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon de mezclilla,mayra
42,Maquila de pantalon de mezclilla,"Josefa Ortiz de Domínguez 8, Colonia Santa Cruz, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,211,10416578,21074315229002972000000000U3,MAQUILLADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILLADORA SIN NOMBRE,13.254100458879366,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
43,Taller de pantalon de mezclilla,"Jazminez SN, Colonia Santa Cruz, Huejotzingo",,TALLER DE PANTALON DE MEZCLILLA,487,11346655,21074332320001021000000000U6,HERRERIA SIN NOMBRE,332320,Fabricaci�n de productos de herrer�a,HERRERIA SIN NOMBRE,28.7469839138506,False,mayra_revisar_nombre_o_distancia,Taller de pantalon de mezclilla,mayra
44,Lavanderia Santa Monica,"Calle Alamos #46, Huejotzingo, Mexico, 74169",,LAVANDERIA SANTA MONICA,2048,3428134,21074812210000223001000000U1,LAVANDERIA SANTA MONICA,812210,Lavander�as y tintorer�as,LAVANDERIA SANTA MONICA,8.85870925044794,True,mayra_nombre_exactoy_cerca,Lavanderia Santa Monica,mayra
45,Lavados Nacionales,"Camino a Santa Ana km. 2.5, Huejotzingo, Mexico, 74160",,LAVADOS NACIONALES,210,6272576,21074313310000034103000000U4,LAVADOS NACIONALES,313310,Acabado de productos textiles,LAVADOS NACIONALES,34.793695059573054,True,mayra_revisar_nombre_o_distancia,Lavados Nacionales,mayra
46,Stonelav,"Sauces, 5, Huejotzingo",,STONELAV,2083,6861846,21074812210000364001000000U3,STONE LAV,812210,Lavander�as y tintorer�as,STONE LAV,12.7480826308301,False,mayra_revisar_nombre_o_distancia,Stonelav,mayra
47,Poliprocesos s.a. de c.v.,"1o de Mayo 1, Cuarta Secc, 74169 Huejotzingo, Pue., Xalmimilulco, Mexico, 74169",,POLIPROCESOS S A DE C V,257,3428329,21074812210000243010000000U9,POLIPROCESO,313310,Acabado de productos textiles,POLIPROCESO,16.26184012480667,False,mayra_revisar_nombre_o_distancia,Poliprocesos s.a. de c.v.,mayra
48,Lavaplus,"División del Norte #2 Col. Santa Cruz, Santa Ana Xalmimilulco, Huejotzingo, Mexico, 74169",,LAVAPLUS,1885,3326071,21074812130000161000000000U3,BA�OS PUBLICOS SAN BARTOLO,812130,Sanitarios p�blicos y boler�as,BA OS PUBLICOS SAN BARTOLO,11.036593990318885,False,mayra_revisar_nombre_o_distancia,Lavaplus,mayra
49,Taller de maquila de mezclilla,"Privada Sandoval No. 52 Col. Santa Ana Xalmimilulco, Huejotzingo, Puebla C.P. 74169",,TALLER DE MAQUILA DE MEZCLILLA,371,8090455,21074315229001931000000000U0,TALLER DE MAQUILA DE MEZCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE MAQUILA DE MEZCLILLA,2.178617336296574,True,mayra_nombre_exactoy_cerca,Taller de maquila de mezclilla,mayra
50,Maquila de pantalon de mezclilla,"Donato Guerra 3B, Centro, 74169 Santa Ana Xalmimilulco, Pue.",,MAQUILA DE PANTALON DE MEZCLILLA,407,11173772,21074315229002821000000000U2,TALLER DE PANTALLA DE MEZCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE PANTALLA DE MEZCLILLA,1.7210196563243838,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
